350:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperTest$Sweep
351:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperTest
354:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.070 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$SoftDeleteNotification
360:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$CreateCopyAtReference
365:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$FindByRef
368:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$CancelAmendNotification
370:[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$AmendNotification
372:[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$SubmitNotification
375:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$DeleteExpired
381:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$ExpiryStamping
385:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$DeleteByReferenceNumbers
393:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$FindAllReferenceNumbers
411:[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$FindAll
420:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$SaveOriginOfImport
421:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.130 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest
423:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.ApplicationTest
425:[INFO] Tests run: 19, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.073 s -- in uk.gov.defra.trade.imports.animals.exceptions.GlobalExceptionHandlerTest
461:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.171 s -- in uk.gov.defra.trade.imports.animals.notificationfulfilments.NotificationFulfilmentsControllerTest
485:[INFO] Tests run: 20, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.056 s -- in uk.gov.defra.trade.imports.animals.notificationfulfilments.NotificationFulfilmentsServiceTest
